corpus,loss_function,seed,train_steps,eval_CE_loss,eval_BPT,eval_BPSS_star,final_train_loss,n_params
SYN-8,CE,42,4000,5.546005357130949,8.001194425476445,0.07967389379028807,5.545511722564697,85478400
SYN-8,CE,137,4000,5.5459776693492895,8.001154480451152,0.07967349602771245,5.546147346496582,85478400
SYN-8,CE,2024,4000,5.5459138799415815,8.00106245178899,0.07967257962930181,5.543309211730957,85478400
SYN-8,MSE,42,4000,5.683073320594944,8.1989416966307,0.08164301167962434,0.003389533143490553,85478400
SYN-8,MSE,137,4000,5.683072104519525,8.198939942204722,0.08164299420948909,0.0033895368687808514,85478400
SYN-8,MSE,2024,4000,5.68307668257764,8.198946546946464,0.08164305997785615,0.0033898467663675547,85478400
SYN-8,LS,42,4000,5.585223765477502,8.057774628709575,0.08023730530903277,5.635745525360107,85478400
SYN-8,LS,137,4000,5.585020275115488,8.05748105417343,0.08023438196719546,5.635582447052002,85478400
SYN-8,LS,2024,4000,5.584981454482101,8.057425047838157,0.08023382427011042,5.635302543640137,85478400
WikiText,CE,42,2500,6.061966625888912,8.745569189204335,1.5216744846506578,5.826643943786621,123849984
WikiText,CE,137,2500,6.06326701014913,8.747445247127802,1.5220009070266183,6.032863616943359,123849984
WikiText,CE,2024,2500,6.062527132456896,8.746377829250353,1.5218151829744226,5.722042560577393,123849984
WikiText,MSE,42,2500,10.81651901647743,15.604938344753158,2.715161929433881,1.9956642063334584e-05,123849984
WikiText,MSE,137,2500,10.81662418125761,15.605090065459999,2.7151883278904485,1.9899793187505566e-05,123849984
WikiText,MSE,2024,2500,10.816487729504814,15.60489320719292,2.715154075779965,1.9917779354727827e-05,123849984
WikiText,LS,42,2500,6.187067598151017,8.926051741497261,1.5530773229116355,7.7428669929504395,123849984
WikiText,LS,137,2500,6.193851300798609,8.935838555665809,1.5547801675274757,7.8123016357421875,123849984
WikiText,LS,2024,2500,6.195538947463188,8.93827331513957,1.5552038004880449,7.644619941711426,123849984
