method,seed,bpt_original,bpt_shuffled,structural_bonus
FP16,42,3.6545,10.0541,6.3996
FP16,137,3.6545,10.0418,6.3873
FP16,271,3.6545,10.0676,6.4131
FP16,314,3.6545,10.0478,6.3933
FP16,577,3.6545,10.0541,6.3996
SYM_INT4,42,17.0279,17.2493,0.2214
SYM_INT4,137,17.0279,17.223,0.1952
SYM_INT4,271,17.0279,17.2518,0.224
SYM_INT4,314,17.0279,17.2267,0.1989
SYM_INT4,577,17.0279,17.2046,0.1768
SYM_INT8,42,3.6915,10.0969,6.4055
SYM_INT8,137,3.6915,10.0861,6.3946
SYM_INT8,271,3.6915,10.1121,6.4206
SYM_INT8,314,3.6915,10.0907,6.3993
SYM_INT8,577,3.6915,10.0981,6.4066
BNB_NF4,42,3.7367,10.1048,6.3681
BNB_NF4,137,3.7367,10.0907,6.354
BNB_NF4,271,3.7367,10.1181,6.3813
BNB_NF4,314,3.7367,10.0974,6.3607
BNB_NF4,577,3.7367,10.1046,6.3679
