depth,seed,label,train_loss_final,eval_BPT,eval_tokens
0,42,depth_0,2.2395,3.2189,58368
0,137,depth_0,2.2402,3.2163,58368
0,271,depth_0,2.2397,3.2167,58368
1,42,depth_1,2.5338,3.6372,54016
1,137,depth_1,2.5339,3.6408,54016
1,271,depth_1,2.531,3.6396,54016
2,42,depth_2,2.5907,3.7249,52736
2,137,depth_2,2.5919,3.7257,52736
2,271,depth_2,2.5899,3.7194,52736
3,42,depth_3,2.6154,3.756,51968
3,137,depth_3,2.615,3.7578,51968
3,271,depth_3,2.6148,3.7576,51968
4,42,depth_4,2.6289,3.7735,51712
4,137,depth_4,2.6308,3.775,51712
4,271,depth_4,2.6281,3.7726,51712
5,42,depth_5,2.6372,3.7844,51456
5,137,depth_5,2.6373,3.7844,51456
5,271,depth_5,2.6348,3.7828,51456
6,42,depth_6,2.6408,3.7908,51200
6,137,depth_6,2.6419,3.7901,51456
6,271,depth_6,2.6394,3.7887,51200
-1,42,salad,4.1424,5.9691,49920
-1,137,salad,4.1427,5.9655,49920
-1,271,salad,4.1422,5.9696,49920
