entropy_level,level_name,seed,mse_loss,mse_pixel_space,bits_per_pixel_est,n_eval_images
0,uniform,42,5e-06,0.32,3.6509,2000
0,uniform,137,0.000269,17.47,12.3312,2000
0,uniform,271,5e-06,0.3,3.5072,2000
1,4-color,42,0.062697,4076.88,24.1312,2000
1,4-color,137,0.062802,4083.67,24.1348,2000
1,4-color,271,0.06263,4072.54,24.1289,2000
2,16-color-blocks,42,0.017527,1139.66,21.3729,2000
2,16-color-blocks,137,0.017691,1150.39,21.3931,2000
2,16-color-blocks,271,0.018127,1178.74,21.4458,2000
3,16-color-pixels,42,0.078739,5120.0,24.6242,2000
3,16-color-pixels,137,0.078889,5129.73,24.6283,2000
3,16-color-pixels,271,0.078573,5109.19,24.6196,2000
4,smooth+noise,42,0.008794,571.83,19.8804,2000
4,smooth+noise,137,0.008751,569.05,19.8699,2000
4,smooth+noise,271,0.008708,566.24,19.8592,2000
5,gaussian-noise,42,0.038903,2529.66,23.0984,2000
5,gaussian-noise,137,0.039101,2542.55,23.1094,2000
5,gaussian-noise,271,0.039105,2542.78,23.1096,2000
6,uniform-noise,42,0.083303,5416.77,24.7461,2000
6,uniform-noise,137,0.083295,5416.25,24.7459,2000
6,uniform-noise,271,0.083293,5416.15,24.7459,2000
